prepare_img_data : 2020-06-11 15:13:46,607 : INFO : Prediction sequence length: 30, Min. img size: 50x300
prepare_img_data : 2020-06-11 15:13:46,607 : WARNING : Make sure the sequence length fits architecture of model
run_prediction : 2020-06-11 15:15:32,814 : INFO : Running prediction
run_prediction : 2020-06-11 15:15:32,815 : INFO : Variables set --- Model: seq30_128dense_lost0.58_f1-0.7_100x700.h5, Img_size: 100x700
run_prediction : 2020-06-11 15:15:32,815 : INFO : Running Deepsort on /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/input_vid/pl_sad.mp4. output to /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/output
utils : 2020-06-11 15:15:32,816 : INFO : Changing working directory to: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/deep_sort_pytorch
utils : 2020-06-11 15:15:32,816 : INFO : Running Deepsort on /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/input_vid/pl_sad.mp4. output to /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/output
utils : 2020-06-11 15:15:32,817 : DEBUG : Directory paths:
Deepsort_dir: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/deep_sort_pytorch, Final Video: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/output/final_vid, Bbox Dir: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/output/bbox_output, Input Vid Dir: /home/jia/jiawen/uni_materials/Y3S2/fyp_project/fyp_team4c/prediction/input_vid
utils : 2020-06-11 15:15:32,817 : INFO : Correcting mobile video metadata
utils : 2020-06-11 15:15:34,940 : INFO : Calling yolov3_deepsort.py in deepsort_pytorch
prepare_img_data : 2020-06-11 15:16:01,484 : INFO : Prediction sequence length: 30, Min. img size: 50x300
prepare_img_data : 2020-06-11 15:16:01,484 : WARNING : Make sure the sequence length fits architecture of model
uiparser : 2020-06-11 15:16:01,570 : DEBUG : uiname is MainWindow
uiparser : 2020-06-11 15:16:01,571 : DEBUG : toplevel widget is MainUI
properties : 2020-06-11 15:16:01,571 : DEBUG : setting property geometry
properties : 2020-06-11 15:16:01,571 : DEBUG : setting property windowTitle
uiparser : 2020-06-11 15:16:01,571 : DEBUG : push MainUI MainWindow
uiparser : 2020-06-11 15:16:01,571 : DEBUG : push QWidget centralwidget
properties : 2020-06-11 15:16:01,571 : DEBUG : setting property geometry
uiparser : 2020-06-11 15:16:01,571 : DEBUG : push QWidget verticalLayoutWidget_2
properties : 2020-06-11 15:16:01,572 : DEBUG : setting property pyuicMargins
uiparser : 2020-06-11 15:16:01,572 : DEBUG : push QVBoxLayout vertical_video_1
properties : 2020-06-11 15:16:01,572 : DEBUG : setting property sizePolicy
properties : 2020-06-11 15:16:01,572 : DEBUG : setting property font
properties : 2020-06-11 15:16:01,572 : DEBUG : setting property text
properties : 2020-06-11 15:16:01,575 : DEBUG : setting property scaledContents
properties : 2020-06-11 15:16:01,575 : DEBUG : setting property alignment
properties : 2020-06-11 15:16:01,575 : DEBUG : setting property wordWrap
uiparser : 2020-06-11 15:16:01,575 : DEBUG : push QLabel text_inputVideo
uiparser : 2020-06-11 15:16:01,575 : DEBUG : pop widget QLabel text_inputVideo
uiparser : 2020-06-11 15:16:01,575 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefab71f78>
uiparser : 2020-06-11 15:16:01,576 : DEBUG : push QVideoWidget video_inputVideo
uiparser : 2020-06-11 15:16:01,576 : DEBUG : pop widget QVideoWidget video_inputVideo
uiparser : 2020-06-11 15:16:01,576 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefab71f78>
uiparser : 2020-06-11 15:16:01,576 : DEBUG : pop layout QVBoxLayout vertical_video_1
uiparser : 2020-06-11 15:16:01,576 : DEBUG : pop widget QWidget verticalLayoutWidget_2
uiparser : 2020-06-11 15:16:01,576 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8cd828>
properties : 2020-06-11 15:16:01,598 : DEBUG : setting property geometry
properties : 2020-06-11 15:16:01,599 : DEBUG : setting property font
properties : 2020-06-11 15:16:01,601 : DEBUG : setting property title
uiparser : 2020-06-11 15:16:01,601 : DEBUG : push QGroupBox groupBoxSelections
properties : 2020-06-11 15:16:01,601 : DEBUG : setting property geometry
uiparser : 2020-06-11 15:16:01,601 : DEBUG : push QWidget gridLayoutWidget
properties : 2020-06-11 15:16:01,601 : DEBUG : setting property sizeConstraint
properties : 2020-06-11 15:16:01,601 : DEBUG : setting property pyuicMargins
uiparser : 2020-06-11 15:16:01,601 : DEBUG : push QGridLayout vertical_selection
properties : 2020-06-11 15:16:01,601 : DEBUG : setting property enabled
properties : 2020-06-11 15:16:01,602 : DEBUG : setting property value
properties : 2020-06-11 15:16:01,602 : DEBUG : setting property textVisible
uiparser : 2020-06-11 15:16:01,602 : DEBUG : push QProgressBar progressBar
uiparser : 2020-06-11 15:16:01,602 : DEBUG : pop widget QProgressBar progressBar
uiparser : 2020-06-11 15:16:01,602 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8e70d8>
